clave,descripcion
K75,OTRAS ENFERMEDADES INFLAMATORIAS DEL HIGADO
K76,OTRAS ENFERMEDADES DEL HIGADO
K77,TRASTORNOS DEL HIGADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K80,COLELITIASIS
K81,COLECISTITIS
K82,OTRAS ENFERMEDADES DE LA VESICULA BILIAR
K83,OTRAS ENFERMEDADES DE LAS VIAS BILIARES
K85,PANCREATITIS AGUDA
K86,OTRAS ENFERMEDADES DEL PANCREAS
K87,"TRASTORNOS DE LA VESICULA, VIAS BILIARES Y PANCREAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE"
K90,MALA ABSORCION INTESTINAL
K91,TRASTORNOS DEL SISTEMA DIGESTIVO CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
K92,OTRAS ENFERMEDADES DEL SISTEMA DIGESTIVO
K93,TRASTORNOS DE OTROS ORGANOS DIGESTIVOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L00,SINDROME ESTAFILOCOCICO DE LA PIEL ESCALDADA
L01,IMPETIGO
L02,"ABCESO CUTANEO, FURUNCULO Y CARBUNCO"
L03,CELULITIS
L04,LINFADENITIS AGUDA
L05,QUISTE PILONIDAL
L08,OTRAS INFECCIONES LOCALES DE PIEL Y TEJIDO SUBCUTANEO
L10,PENFIGO
L11,OTROS TRASTORNOS ACANTOLITICOS
L12,PENFIGOIDE
L13,OTROS TRASTORNOS FLICTENULARES
L14,TRASTORNOS FLICTENULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L20,DERMATITIS ATOPICA
L21,DERMATITIS SEBORREICA
L22,DERMATITIS POR PAÑAL
L23,DERMATITIS ALERGICA DE CONTACTO
L24,DERMATITIS DE CONTACTO DE IRRITANTES
L25,DERMATITIS DE CONTACTO FORMA NO ESPECIFICADA
L26,DERMATITIS EXFOLIATIVA
L27,DERMATITIS POR SUSTANCIAS INGERIDAS
L28,LIQUEN SIMPLE CRONICO Y PRURIGO
L29,PRURITO
L30,OTRAS DERMATITIS
L40,PSORIASIS
L41,PARAPSORIASIS
L42,PITIRIASIS ROSADA
L43,LIQUEN PLANO
L44,OTROS TRASTORNOS PAPULOESCAMOSOS
L45,TRASTORNOS PAPULOESCAMOSOS EN ENFERMEDADES CLASIFICADOS EN OTRA PARTE
L50,URTICARIA
L51,ERITEMA MULTIFORME
L52,ERITEMA NODOSO
L53,OTRAS AFECCIONES ERITEMATOSAS
L54,ERITEMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L55,QUEMADURA SOLAR
L56,OTROS CAMBIOS AGUDOS DE LA PIEL POR RADIACION ULTRAVIOLETA
L57,CAMBIOS EN LA PIEL POR EXPOSICION CRONICA A RADIACION NO IONIZANTE
L58,RADIODERMATITIS
L59,OTROS TRASTORNOS DE LA PIEL Y TEJIDO SUBCUTANEO RELACIONADOS CON RADIACION
L60,TRASTORNOS DE LAS UÑAS
L62,TRASTORNOS DE LAS UÑAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L63,ALOPECIA AREATA
L64,ALOPECIA ANDROGENA
L65,OTRA PERDIDA NO CICATRICIAL DEL PELO
L66,ALOPECIA CICATRICIAL (PERDIDA CICATRICIAL DEL PELO)
L67,ANORMALIDADES DEL TALLO Y COLOR DEL PELO
L68,HIPERTRICOSIS
L70,ACNE
L71,ROSACEA
L72,QUISTE FOLICULAR DE LA PIEL Y TEJIDO SUBCUTANEO
L73,OTROS TRASTORNOS FOLICULARES
L74,TRASTORNOS SUDORIPAROS ECRINOS
L75,TRASTORNOS SUDORIPAROS APOCRINOS
L80,VITILIGO
L81,OTROS TRASTORNOS DE PIGMENTACION
L82,QUERATOSIS SEBORREICA
L83,ACANTOSIS NIGRICANS
L84,CALLOS Y CALLOSIDADES
L85,OTROS ENGROSAMIENTOS EPIDERMICOS
L86,QUERATODERMA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
L87,TRASTORNOS DE ELIMINACION TRANSEPIDERMICA
L88,PIODERMA GANGRENOSO
L89,ULCERA DE DECUBITO
L90,TRASTORNOS ATROFICOS DE LA PIEL
L91,TRASTORNOS HIPERTROFICOS DE LA PIEL
L92,TRASTORNOS GRANULOMATOSOS DE LA PIEL Y TEJIDO SUBCUTANEO
L93,LUPUS ERITEMATOSO
L94,OTROS TRASTORNOS LOCALIZADOS DEL TEJIDO CONJUNTIVO
L95,"VASCULITIS LIMITADA A LA PIEL, NO CLASIFICADO EN OTRA PARTE"
L97,"ULCERA DEL MIEMBRO INFERIOR, NO CLASIFICADO EN OTRA PARTE"
L98,OTROS TRASTORNOS DE LA PIEL Y TEJIDO SUBCUTANEO NO CLASIFICADOS EN OTRA PARTE
L99,OTROS TRASTORNOS DE LA PIEL Y TEJIDO SUBCUTANEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M00,ARTRITIS PIOGENICA
M01,INFECCIONES DIRECTAS DE LAS ARTICULACIONES EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE
M02,ARTROPATIAS REACTIVAS
M03,ARTROPATIAS POSTINFECCIOSAS Y REACTIVAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M05,ARTRITIS REUMATOIDE SEROPOSITIVA
M06,OTRAS ARTRITIS REUMATOIDES
M07,ARTROPATIAS PSORIATICAS Y ENTEROPATICAS
M08,ARTRITIS JUVENIL
M09,ARTRITIS JUVENIL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M10,GOTA
M11,OTRAS ARTROPATIAS POR CRISTALES
M12,OTRAS ARTROPATIAS ESPECIFICAS
M13,OTRAS ARTRITIS
M14,ARTROPATIAS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M15,POLIARTROSIS
M16,COXARTROSIS (ARTROSIS DE LA CADERA)
M17,GONARTROSIS (ARTROSIS DE LA RODILLA)
M18,ARTROSIS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA
M19,OTRAS ARTROSIS
M20,DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DE LA MANO Y DEL PIE
M21,OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS
M22,TRASTORNO DE LA ROTULA
M23,TRASTORNO INTERNO DE LA RODILLA
M24,OTROS TRASTORNOS ARTICULARES ESPECIFICOS
M25,"OTROS TRASTORNOS DE LAS ARTICULACIONES, NO CLASIFICADOS EN OTRA PARTE"
M30,POLIARTERITIS NUDOSA Y AFECCIONES RELACIONADAS
M31,OTRAS VASCULOPATIAS NECROTIZANTES
M32,LUPUS ERITEMATOSO SISTEMICO
M33,DERMATOPOLIMIOSITIS
M34,ESCLEROSIS SISTEMICA
M35,OTRO COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO
M36,TRASTORNOS SISTEMICOS DEL TEJIDO CONJUNTIVO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M40,CIFOSIS Y LORDOSIS
M41,ESCOLIOSIS
M42,OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL
M43,OTRAS DORSOPATIAS DEFORMANTES
M45,ESPONDILITIS ANQUILOSANTE
M46,OTRAS ESPONDILOPATIAS INFLAMATORIAS
M47,ESPONDILOSIS
M48,OTRAS ESPONDILOPATIAS
M49,ESPONDILOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M50,TRASTORNOS DE DISCO CERVICAL
M51,OTROS TRASTORNOS DE LOS DISCOS INTERVERTEBRALES
M53,"OTRAS DORSOPATIAS, NO CLASIFICADAS EN OTRA PARTE"
M54,DORSALGIA
M60,MIOSITIS
M61,CALCIFICACION Y OSIFICACION DEL MUSCULO
M62,OTROS TRASTORNOS DEL MUSCULO
M63,TRASTORNOS DEL MUSCULO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M65,SINOVITIS Y TENOSINOVITIS
M66,RUPTURA ESPONTANEA DE LA SINOVIA Y DEL TENDON
M67,OTROS TRASTORNOS DE LA SINOVIA Y DEL TENDON
M68,TRASTORNOS DE LA SINOVIA Y TENDON EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M70,"TRASTORNOS DEL TEJIDO BLANDO RELACIONADOS AL USO, USO EXCESIVO Y PRESION"
M71,OTRAS BURSOPATIAS
M72,TRASTORNOS FIBROBLASTICOS
M73,TRASTORNOS DEL TEJIDO BLANDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M75,LESIONES DEL HOMBRO
M76,"ENTESOPATIAS DEL MIEMBRO INFERIOR, EXCLUIDO EL PIE"
M77,OTRAS ENTESOPATIAS
M79,"OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS, NO CLASIFICADOS EN OTRA PARTE"
M80,OSTEOPOROSIS CON FRACTURA PATOLOGICA
M81,OSTEOPOROSIS SIN FRACTURA PATOLOGICA
M82,OSTEOPOROSIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M83,OSTEOMALACIA DEL ADULTO
M84,TRASTORNOS DE LA CONTINUIDAD DEL HUESO
M85,OTROS TRASTORNOS DE LA DENSIDAD Y ESTRUCTURA OSEA
M86,OSTEOMIELITIS
M87,OSTEONECROSIS
M88,ENFERMEDAD DE PAGET DE LOS HUESOS (OSTEITIS DEFORMANTE)
M89,OTROS TRASTORNOS DEL HUESO
M90,OSTEOPATIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
M91,OSTEOCONDROSIS JUVENIL DE LA CADERA Y PELVIS
M92,OTRAS OSTEOCONDROSIS JUVENILES
M93,OTRAS OSTEOCONDROPATIAS
M94,OTROS TRASTORNOS DEL CARTILAGO
M95,OTRAS DEFORMIDADES ADQUIRIDAS DEL SISTEMA OSTEOMUSCULAR Y TEJIDO CONJUNTIVO
M96,TRASTORNOS OSTEOMUSCULAR CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
M99,LESIONES BIOMECANICAS NO CLASIFICADOS EN OTRA PARTE
N00,SINDROME NEFRITICO AGUDO
N01,SINDROME NEFRITICO DE PROGRESION RAPIDA
N02,HEMATURIA PERSISTENTE Y RECURRENTE
N03,SINDROME NEFRITICO CRONICO
N04,SINDROME NEFROTICO
N05,SINDROME NEFRITICO NO ESPECIFICADO
N06,PROTEINURIA AISLADA CON LESION MORFOLOGICA ESPECIFICADA
N07,"NEFROPATIA HEREDITARIA, NO CLASIFICADA EN OTRA PARTE"
N08,TRASTORNOS GLOMERULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N10,NEFRITIS TUBULOINTERSTICIAL AGUDA
N11,NEFRITIS TUBULOINTERSTICIAL CRONICA
N12,NEFRITIS TUBULOINTERSTICIAL NO ESPECIFICADA COMO AGUDA O CRONICA
N13,UROPATIA OBSTRUCTIVA Y POR REFLUJO
N14,AFECCIONES TUBULARES Y TUBULOINTERSTICIAL POR DROGAS Y METALES PESADOS
N15,OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES
N16,TRASTORNOS RENALES TUBULOINTERSTICIALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N17,INSUFICIENCIA RENAL AGUDA
N18,INSUFICIENCIA RENAL CRONICA
N19,INSUFICIENCIA RENAL NO ESPECIFICADA
N20,CALCULO DEL RIÑON Y URETER
N21,CALCULO DE LAS VIAS URINARIAS INFERIORES
N22,CALCULO DE LAS VIAS URINARIAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N23,COLICO RENAL NO ESPECIFICADO
N25,TRASTORNOS RESULTANTES DE LA FUNCION TUBULAR RENAL ALTERADA
N26,RIÑON CONTRAIDO NO ESPECIFICADO
N27,RIÑON PEQUEÑO DE CAUSA DESCONOCIDA
N28,DIALISIS PERITONEAL O HEMODIALISIS
N29,OTROS TRASTORNOS DEL RIÑON Y URETER EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N30,CISTITIS
N31,DISFUNCION NEUROMUSCULAR DE LA VEJIGA NO CLASIFICADO EN OTRA PARTE
N32,OTROS TRASTORNOS DE LA VEJIGA
N33,TRASTORNOS DE LA VEJIGA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N34,URETRITIS Y SINDROME URETRAL
N35,ESTRECHEZ URETRAL
N36,OTROS TRASTORNOS DE LA URETRA
N37,TRASTORNOS URETRALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N39,OTROS TRASTORNOS DEL SISTEMA URINARIO
N40,HIPERPLASIA DE LA PROSTATA
N41,ENFERMEDADES INFLAMATORIAS DE LA PROSTATA
N42,OTROS TRASTORNOS DE LA PROSTATA
N43,HIDROCELE Y ESPERMATOCELE
N44,TORSION DEL TESTICULO
N45,ORQUITIS Y EPIDIDIMITIS
N46,ESTERILIDAD EN EL VARON
N47,"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS"
N48,OTROS TRASTORNOS DEL PENE
N49,TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS NO CLASIFICADOS EN OTRA  PARTE
N50,OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS
N51,TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA  PARTE
N60,DISPLASIA MAMARIA BENIGNA
N61,TRASTORNOS INFLAMATORIOS DE LA MAMA
N62,HIPERTROFIA DE LA MAMA
N63,MASA INESPECIFICA EN LA MAMA
N64,OTROS TRASTORNOS DE LA MAMA
N70,SALPINGITIS Y OOFORITIS
N71,"ENFERMEDAD INFLAMATORIA DEL UTERO, EXCEPTO CUELLO UTERINO"
N72,ENFERMEDAD INFLAMATORIA DEL CUELLO UTERINO
N73,OTRAS ENFERMEDADES INFLAMATORIAS PELVICAS FEMENINAS
N74,TRASTORNOS INFLAMATORIOS PELVICOS FEMENINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N75,ENFERMEDAD DE LAS GLANDULAS DE BARTHOLIN
N76,OTRAS ENFERMEDADES INFLAMATORIAS DE LA VAGINA Y VULVA
N77,INFLAMACION Y ULCERACION VULVOVAGINAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
N80,ENDOMETRIOSIS
N81,PROLAPSO GENITAL FEMENINO
N82,FISTULAS QUE AFECTAN EL TRACTO GENITAL FEMENINO
N83,"TRASTORNOS NO INFLAMATORIOS DEL OVARIO, TROMPAS DE FALOPIO Y LIGAMENTO ANCHO"
N84,POLIPO DEL TRACTO GENITAL FEMENINO
N85,"OTROS TRASTORNOS NO INFLAMATORIOS DEL UTERO, EXCEPTO CUELLO"
N86,EROSION Y ECTROPION DEL CUELLO UTERINO
N87,DISPLASIA DEL CUELLO UTERINO
N88,OTROS TRASTORNOS NO INFLAMATORIOS DEL CUELLO UTERINO
N89,OTROS TRASTORNOS NO INFLAMATORIOS DE LA VAGINA
N90,OTROS TRASTORNOS NO INFLAMATORIOS DE LA VULVA Y PERINEO
N91,"MENSTRUACION AUSENTE, ESCASA O RARA"
N92,"MENSTRUACION EXCESIVA, FRECUENTE E IRREGULAR"
N93,OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES
N94,DOLOR Y OTRAS AFECCIONES ASOCIADAS CON ORGANOS GENITALES FEMENINOS Y CICLO  MENSTRUAL
N95,OTROS TRASTORNOS MENOPAUSICOS Y PERIMENOPAUSICOS
N96,ABORTADORA HABITUAL
N97,INFERTILIDAD FEMENINA
N98,COMPLICACIONES ASOCIADAS CON LA FECUNDACION ARTIFICIAL
N99,TRASTORNOS DEL SISTEMA GENITOURINARIO CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
O00,EMBARAZO ECTOPICO
O01,MOLA HIDATIDIFORME
O02,OTROS PRODUCTOS ANORMALES DE CONCEPCION
O03,ABORTO ESPONTANEO
O04,ABORTO MEDICO
O05,OTRO ABORTO
O06,ABORTO NO ESPECIFICADO
O07,INTENTO FALLIDO DE ABORTO
O08,"COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y MOLAR"
O10,"HIPERTENSION PREEXISTENTE COMPLICANDO EL EMBARAZO, PARTO Y PUERPERIO"
O11,TRASTORNO HIPERTENSIVO PREEXISTENTE CON PROTEINURIA AGREGADA
O12,EDEMA Y PROTEINURIA GESTACIONALES (INDUCIDA POR EL EMBARAZO) SIN HIPERTENSION
O13,HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) SIN PROTEINURIA SIGNIFICATIVA
O14,HIPERTENSION GESTACIONAL (INDUCIDA POR EL EMBARAZO) CON PROTEINURIA SIGNIFICATIVA
O15,ECLAMPSIA
O16,HIPERTENSION MATERNA NO ESPECIFICADA
O20,HEMORRAGIA PRECOZ DEL EMBARAZO
O21,VOMITOS EXCESIVOS EN EL EMBARAZO
O22,COMPLICACIONES VENOSAS EN EL EMBARAZO
O23,INFECCION DE LAS VIAS GENITOURINARIAS EN EL EMBARAZO
O24,DIABETES MELLITUS EN EL EMBARAZO
O25,DESNUTRICION EN EL EMBARAZO
O26,ATENCION A LA MADRE POR OTRAS COPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO
O28,HALLAZGOS ANORMALES EN PRUEBAS PRENATALES DE LA MADRE
O29,COMPLICACIONES DE ANESTESIA ADMINISTRADA DURANTE EL EMBARAZO
O30,EMBARAZO MULTIPLE
O31,COMPLICACIONES ESPECIFICAS DEL EMBARAZO MULTIPLE
O32,"ATENCION MATERNA POR PRESENTACION ANORMAL DEL FETO, CONOCIDA O PRESUNTA"
O33,ATENCION MATERNA POR DESPROPORCION CONOCIDA O PRESUNTA
O34,ATENCION MATERNA POR ANORMALIDADES CONOCIDAS O PRESUNTAS DE LOS ORGANOS PELVIANOS DE LA MADRE
O35,ATENCION MATERNA POR ANORMALIDAD O LESION FETAL CONOCIDA O PRESUNTA
O36,ATENCION MATERNA POR OTROS PROBLEMAS FETALES CONOCIDOS O PRESUNTOS
O40,POLIHIDRAMNIOS
O41,OTROS TRASTORNOS DEL LIQUIDO AMNIOTICO Y MEMBRANAS
O42,RUPTURA PREMATURA DE MEMBRANAS
O43,TRASTORNOS PLACENTARIOS
O44,PLACENTA PREVIA
O45,DESPRENDIMIENTO PREMATURO DE LA PLACENTA (ABRUPTIO PLACENTAE)
O46,HEMORRAGIA ANTEPARTO NO CLASIFICADA EN OTRA PARTE
O47,FALSO TRABAJO DE PARTO
O48,EMBARAZO PROLONGADO
O60,PARTO PREMATURO
O61,FRACASO DE LA INDUCCION DEL TRABAJO DE PARTO
O62,ANORMALIDADES DE LA DINAMICA DEL TRABAJO DE PARTO
O63,TRABAJO DE PARTO PROLONGADO
O64,TRABAJO DE PARTO OBSTRUIDO POR MALA POSICION Y PRESENTACION ANORMAL DEL FETO
O65,TRABAJO DE PARTO OBSTRUIDO POR ANORMALIDAD PELVICA MATERNA
O66,OTRAS OBSTRUCCIONES DEL TRABAJO DE PARTO
O67,TRABAJO DE PARTO Y EXPULSION COMPLICADA POR HEMORRAGIA INTRA-PARTO NO CLASIFICADA EN  OTRA PARTE
O68,TRABAJO DE PARTO Y EXPULSION COMPLICADA POR SUFRIMIENTO FETAL
O69,TRABAJO DE PARTO Y EXPULSION COMPLICADA POR PROBLEMAS DEL CORDON UMBILICAL
O70,LACERACION PERINEAL DURANTE EL PARTO
O71,OTRO TRAUMA OBSTETRICO
O72,HEMORRAGIA POSTPARTO
O73,RETENCION DE LA PLACENTA O MEMBRANAS SIN HEMORRAGIA
O74,COMPLICACIONES DE LA ANESTESIA ADMINISTRADA DURANTE EL TRABAJO DE PARTO Y EXPULSION
O75,"OTRAS COMPLICACIONES DE TRABAJO DE PARTO Y EXPULSION, NO CLASIFICADAS EN OTRA PARTE"
O80,PARTO UNICO ESPONTANEO
O81,PARTO UNICO POR FORCEPS Y EXTRACTOR DE VACIO
O82,PARTO UNICO POR CESAREA
O83,OTROS PARTOS UNICOS ASISTIDOS
O84,PARTO MULTIPLE
O85,SEPSIS PUERPERAL
O86,OTRAS INFECCIONES PUERPERALES
O87,COMPLICACIONES VENOSAS EN EL PUERPERIO
O88,EMBOLIA OBSTETRICA
O89,COMPLICACIONES DE ANESTESIA ADMINISTRADA DURANTE EL PUERPERIO
O90,"COMPLICACIONES DEL PUERPERIO, NO CLASIFICADAS EN OTRA PARTE"
O91,INFECCIONES DE LA MAMA ASOCIADAS CON EL PARTO
O92,OTROS TRASTORNOS DE LA MAMA Y LA LACTACION ASOCIADAS CON EL NACIMIENTO
O95,MUERTE OBSTETRICA DE CAUSA NO ESPECIFICADA
O96,MUERTE MATERNA POR CUALQUIER CAUSA OBSTETRICA OCURRIENDO DESPUES DE 42 DIAS PERO DENTRO DEL PRIMER AÑO DEL PARTO.
O97,MUERTE POR SECUELAS DE CAUSAS OBSTETRICAS DIRECTAS
O98,"ENFERMEDADES MATERNAS INFECCIOSAS Y PARASITARIAS CLASIFICABLES EN OTRA PARTE PERO COMPLICANDO EL EMBARAZO, PARTO Y PUERPERIO"
O99,"OTRAS ENFERMEDADES MATERNAS CLASIFICABLES EN OTRA PARTE PERO COMPLICANDO EMBARAZO, PARTO Y PUERPERIO"
P00,FETO Y RECIEN NACIDO AFECTADO POR CONDICIONES MATERNAS QUE PUEDEN ESTAR NO RELACIONADAS CON EL EMBARAZO PRESENTE
P01,FETO Y RECIEN NACIDO AFECTADO POR COMPLICACIONES MATERNAS DEL EMBARAZO
P02,"FETO Y RECIEN NACIDO AFECTADO POR COMPLICACIONES DE LA PLACENTA, CORDON Y MEMBRANAS"
P03,FETO Y RECIEN NACIDO AFECTADO POR OTRAS COMPLICACIONES DE TRABAJO DE PARTO Y EXPULSION
P04,FETO Y RECIEN NACIDO AFECTADO POR INFLUENCIAS NOCIVAS TRANSMITIDAS VIA PLACENTA O LECHE MATERNA
P05,RETARDO DEL CRECIMIENTO FETAL Y DESNUTRICION FETAL
P07,"TRASTORNOS RELACIONADOS CON GESTACION CORTA Y NACIMIENTO CON PESO BAJO, NO CLASIFICADOS  EN OTRA PARTE"
P08,TRASTORNOS RELACIONADOS CON LARGA GESTACION Y NACIMIENTO CON SOBREPESO
P10,HEMORRAGIA Y LACERACION INTRACRANEAL DEBIDAS A TRAUMATISMO DEL NACIMIENTO
P11,OTROS TRAUMATISMOS DEL NACIMIENTO AL SISTEMA NERVIOSO CENTRAL
P12,TRAUMATISMO DEL NACIMIENTO EN EL CUERO CABELLUDO
P13,TRAUMATISMO DEL ESQUELETO AL NACIMIENTO
P14,TRAUMATISMO DEL SISTEMA NERVIOSO PERIFERICO AL NACIMIENTO
P15,OTROS TRAUMATISMOS AL NACIMIENTO
P20,HIPOXIA INTRAUTERINA
P21,ASFIXIA DEL NACIMIENTO
P22,DIFICULTAD RESPIRATORIA DEL RECIEN NACIDO
P23,NEUMONIA CONGENITA
P24,SINDROME DE ASPIRACION NEONATAL
P25,ENFISEMA INTERSTICIAL Y AFECCIONES RELACIONADAS ORIGINADAS EN EL PERIODO PERINATAL
P26,HEMORRAGIA PULMONAR ORIGINADA EN EL PERIODO PERINATAL
P27,ENFERMEDAD RESPIRATORIA CRONICA ORIGINADA EN EL PERIODO PERINATAL
P28,OTROS PROBLEMAS RESPIRATORIOS DEL RECIEN NACIDO ORIGINADOS EN EL PERIODO PERINATAL
P29,TRASTORNOS CARDIOVASCULARES ORIGINADOS EN EL PERIODO PERINATAL
P35,ENFERMEDADES VIRALES CONGENITAS
P36,SEPSIS BACTERIANA DEL RECIEN NACIDO
P37,OTRAS ENFERMEDADES PARASITARIAS E INFECCIONES CONGENITAS
P38,ONFALITIS DEL RECIEN NACIDO CON O SIN HEMORRAGIA LEVE
P39,OTRAS INFECCIONES ESPECIFICAS DEL PERIODO PERINATAL
P50,PERDIDA DE SANGRE FETAL
P51,HEMORRAGIA UMBILICAL DEL RECIEN NACIDO
P52,HEMORRAGIA INTRACRANEAL NO TRAUMATICA DEL FETO Y DEL RECIEN NACIDO
P53,ENFERMEDAD HEMORRAGICA DEL FETO Y DEL RECIEN NACIDO
P54,OTRAS HEMORRAGIAS NEONATALES
P55,ENFERMEDAD HEMOLITICA DEL FETO Y DEL RECIEN NACIDO
P56,HIDROPESIA FETAL POR ENFERMEDAD HEMOLITICA
P57,KERNICTERUS
P58,ICTERICIA NEONATAL POR OTRAS HEMOLISIS EXCESIVAS
P59,ICTERICIA NEONATAL POR OTRAS CAUSAS Y LAS NO ESPECIFICADAS
P60,COAGULACION INTRAVASCULAR DISEMINADA DEL FETO Y DEL RECIEN NACIDO
P61,OTROS TRASTORNOS HEMATOLOGICOS PERINATALES
P70,TRASTORNOS TRANSITORIOS DEL METABOLISMO DE LOS CARBOHIDRATOS ESPECIFICOS DEL FETO Y DEL RECIEN NACIDO
P71,TRASTORNOS NEONATALES TRANSITORIOS DEL METABOLISMO DEL CALCIO Y MAGNESIO
P72,OTROS TRASTORNOS ENDOCRINOS NEONATALES TRANSITORIOS
P74,OTRAS ALTERACIONES METABOLICAS Y ELECTROLITICAS NEONATALES TRANSITORIAS
P75,ILEO MECONIAL
P76,OTRAS OBSTRUCCIONES INTESTINALES DEL RECIEN NACIDO
P77,ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO
P78,OTROS TRASTORNOS PERINATALES DEL SISTEMA DIGESTIVO
P80,HIPOTERMIA DEL RECIEN NACIDO
P81,OTRAS ALTERACIONES DE LA REGULACION DE LA TEMPERATURA DEL RECIEN NACIDO
P83,OTRAS AFECIONES DE LA PIEL ESPECIFICAS DEL FETO Y DEL RECIEN NACIDO
P90,CONVULSIONES DEL RECIEN NACIDO
P91,OTRAS ALTERACIONES CEREBRALES DEL RECIEN NACIDO
P92,PROBLEMAS DE LA INGESTIÓN DE ALIMENTOS DEL RECIEN NACIDO
P93,REACCIONES E INTOXICACIONES POR ADMINISTRACION DE DROGAS AL FETO O RECIEN NACIDO
P94,TRASTORNOS DEL TONO MUSCULAR DEL RECIEN NACIDO
P95,MUERTE FETAL DE CAUSA NO ESPECIFICADA
P96,OTRAS AFECCIONES ORIGINADAS EN EL PERIODO PERINATAL
Q00,ANENCEFALIA Y MALFORMACIONES SIMILARES
Q01,ENCEFALOCELE
Q02,MICROCEFALIA
Q03,HIDROCEFALO CONGENITO
Q04,OTRAS MALFORMACIONES CONGENITAS DEL ENCEFALO
Q05,ESPINA BIFIDA
Q06,OTRAS MALFORMACIONES CONGENITAS DE LA MEDULA ESPINAL
Q07,OTRAS MALFORMACIONES CONGENITAS DEL SISTEMA NERVIOSO
Q10,"MALFORMACIONES CONGENITAS DEL PARPADO, APARATO LAGRIMAL Y ORBITA"
Q11,"ANOFTALMIA, MICROFTALMIA Y MACROFTALMIA"
Q12,MALFORMACIONES CONGENITAS DEL CRISTALINO
Q13,MALFORMACIONES CONGENITAS DEL SEGMENTO ANTERIOR DEL OJO
Q14,MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO
Q15,OTRAS MALFORMACIONES CONGENITAS DEL OJO
Q16,MALFORMACIONES CONGENITAS DEL OIDO CAUSANDO ALTERACION DE LA AUDICION
Q17,OTRAS MALFORMACIONES CONGENITAS DEL OIDO
Q18,OTRAS MALFORMACIONES CONGENITAS DE LA CARA Y DEL CUELLO
Q20,MALFORMACIONES CONGENITAS DE LAS CAMARAS CARDIACAS Y CONEXIONES
Q21,MALFORMACIONES CONGENITAS DE LOS TABIQUES CARDIACOS
Q22,MALFORMACIONES CONGENITAS DE LAS VALVULAS PULMONAR Y TRICUSPIDE
Q23,MALFORMACIONES CONGENITAS DE LAS VALVULAS AORTICA Y MITRAL
Q24,OTRAS MALFORMACIONES CONGENITAS DEL CORAZON
